addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
대구광역시 수성구 유니버시아드로 140,(대흥동),4,0,A02,A0202,A02020600,2498819,12,20170705193130,http://tong.visitkorea.or.kr/cms/resource/21/2498821_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2498821_image2_1.jpg,Type3,128.6873500935,35.8317037939,6,20240122135138,7,053-792-7600,아이니테마파크(대구 스타디움점)
대구광역시 남구 대명동,,4,0,A02,A0201,A02010800,337414,12,20071217225635,http://tong.visitkorea.or.kr/cms/resource/91/3008191_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3008191_image3_1.jpg,Type1,128.5755657121,35.8236887493,6,20240516165257,1,,안일사(대구)
대구광역시 달서구 선원로33안길 66,(이곡동) 등산로 입구,4,0,A01,A0101,A01010400,2366455,12,20160204182717,http://tong.visitkorea.or.kr/cms/resource/43/2366143_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2366143_image2_1.jpg,Type3,128.5103674020,35.8697101184,6,20230911200759,2,,와룡산(대구)
경상남도 거제시 장목면 외포5길 60,,36,0,A02,A0203,A02030600,2611155,12,20190716020841,http://tong.visitkorea.or.kr/cms/resource/28/2369228_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2369228_image3_1.jpg,Type3,128.7177745646,34.9393713828,6,20231214163003,1,,외포리 대구탕거리
대구광역시 달성군 화원읍 화원휴양림길 132,,4,0,A02,A0201,A02010800,346629,12,20071220221641,http://tong.visitkorea.or.kr/cms/resource/10/2671410_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2671410_image3_1.jpg,Type3,128.5390037751,35.7691386926,6,20230323144833,3,,용문사(대구)
대구광역시 달성군 옥포읍 용연사길 260,,4,0,A02,A0201,A02010800,129673,12,20070911090000,,,,128.5209476069,35.7482796084,6,20240508165757,3,,용연사(대구)
대구광역시 달성군 가창면 헐티로 1068,,4,0,A02,A0201,A02010800,346895,12,20071221190040,http://tong.visitkorea.or.kr/cms/resource/68/1573968_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1573968_image3_1.jpg,Type3,128.6035783477,35.7799747648,6,20231027114742,3,,운흥사(대구)
대구광역시 남구 앞산순환로 574-120,,4,0,A02,A0201,A02010800,348785,12,20071224183420,,,,128.5897144697,35.8235695788,6,20240611102924,1,,은적사(대구)
대구광역시 북구 동천동,,4,0,A02,A0203,A02030600,2676339,12,20201014195956,http://tong.visitkorea.or.kr/cms/resource/29/2676329_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/29/2676329_image2_1.bmp,Type3,128.5622607851,35.9430833177,6,20230117105337,5,,이태원길(대구)
대구광역시 달성군 가창면 남지장사길 127,,4,0,A02,A0201,A02010800,1610531,12,20120423232902,http://tong.visitkorea.or.kr/cms/resource/96/1573996_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1573996_image3_1.jpg,Type3,128.6308660801,35.7350803422,6,20240205111606,3,,청련암(대구)
대구광역시 북구 연암공원로 89,(산격동) 1층,4,0,A02,A0203,A02030200,2770621,12,20211109194238,,,,128.6012669341,35.8980946897,6,20231115170021,5,,향사례 대구시민단
대구광역시 달성군 화원읍 비슬로522길 41,,4,0,A02,A0201,A02010800,487896,12,20080226000717,,,,128.5017700139,35.8027425408,6,20231026122336,3,,화장사(대구)
인천광역시 중구 제물량로218번길 3,(해안동1가),2,0,A02,A0201,A02010700,945420,12,20100205011548,,,,126.6206396146,37.4728532152,6,20240618163541,10,,구 일본우선(郵船)주식회사 인천지점
인천광역시 중구 무의동,,2,0,A01,A0101,A01010400,1945647,12,20140902190545,http://tong.visitkorea.or.kr/cms/resource/56/1945656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/1945656_image2_1.jpg,Type3,126.4159494251,37.3915951817,6,20231204181843,10,,국사봉(인천)
인천광역시 서구 로봇랜드로 291,(청라동),2,0,A02,A0202,A02020700,2767605,12,20211103193455,http://tong.visitkorea.or.kr/cms/resource/44/2780444_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/44/2780444_image2_1.png,Type3,126.6133331150,37.5308435649,6,20231206132337,7,,노을공원(인천)
인천광역시 중구 우현로67번길 57,(전동),2,0,A02,A0203,A02030600,735753,12,20090518193206,,,,126.6286721359,37.4757224674,6,20240523114106,10,,동인천 삼치거리
인천광역시 동구 송현동 70-10,(송현동),2,0,A02,A0202,A02020700,2768117,12,20211104193009,,,,126.6325328678,37.4766807577,6,20230503122655,5,,동인천역북광장
인천광역시 남동구 풀무로 48,(간석동),2,0,A02,A0201,A02010800,127448,12,20030123090000,http://tong.visitkorea.or.kr/cms/resource/93/3030693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/3030693_image3_1.jpg,Type3,126.7128701186,37.4718466279,6,20240603160733,4,,약사사(인천)
인천광역시 중구 운남로 199-1,(운남동),2,0,A02,A0201,A02010800,126676,12,20030729090000,http://tong.visitkorea.or.kr/cms/resource/88/3047388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/3047388_image3_1.jpg,Type3,126.5279807341,37.4971570919,6,20240530155105,10,,용궁사(인천)
인천광역시 서구 도요지로 54,(경서동),2,0,A02,A0201,A02010700,1619133,12,20120430200438,http://tong.visitkorea.or.kr/cms/resource/63/1577563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/1577563_image3_1.jpg,Type3,126.6562562094,37.5582466915,6,20230531101316,7,032-560-4343,인천 경서동 녹청자 요지
인천광역시 중구 우현로50번길 2,(답동),2,0,A02,A0201,A02010900,129606,12,20070713090000,http://tong.visitkorea.or.kr/cms/resource/03/217503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/217503_image3_1.jpg,Type3,126.6299554804,37.4710924729,6,20230714134927,10,,인천 답동성당
인천광역시 서구 새오개로68번길 15-47,(신현동) 부근,2,0,A01,A0102,A01020100,1619744,12,20120501012035,http://tong.visitkorea.or.kr/cms/resource/25/1578825_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/1578825_image3_1.jpg,Type3,126.6674119100,37.5165100769,6,20230610080050,7,,인천 신현동 회화나무
인천광역시 중구 차이나타운로59번길 20,,2,0,A02,A0203,A02030600,264512,12,20040915192157,,,,126.6191619441,37.4738502955,6,20240530160502,10,,인천 차이나타운
인천광역시 중구 팔미로 28 (무의동),,2,0,A01,A0101,A01011600,129128,12,20060710090000,http://tong.visitkorea.or.kr/cms/resource/59/3308559_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/59/3308559_image3_1.jpeg,Type3,126.5108361238,37.3583729205,6,20240612164015,10,,인천 팔미도 등대
인천광역시 옹진군 북도면 신도로 577,,2,0,A02,A0203,A02030100,803629,12,20090915230248,http://tong.visitkorea.or.kr/cms/resource/54/2512854_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2512854_image2_1.jpg,Type3,126.4598860859,37.5286466783,6,20230403145053,9,,인천 푸른벗말
인천광역시 동구 화평로,(화평동),2,0,A02,A0203,A02030600,699269,12,20090225205259,,,,126.6295164248,37.4785193793,6,20240117152536,5,,인천 화평동 세숫대야 냉면 거리
인천광역시 중구 공항서로 279,,2,,A02,A0205,A02050600,3015858,12,20230830135212,http://tong.visitkorea.or.kr/cms/resource/45/3015845_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3015845_image3_1.jpg,Type3,126.4242665370,37.4489442161,6,20230926141141,10,,인천공항전망대
인천광역시 중구 제2터미널대로 446,,2,0,A02,A0204,A02040800,2535506,12,20180202194246,,,,126.4250156573,37.4784546859,6,20231019173131,10,,인천국제공항 제2여객터미널
인천광역시 동구 우각로 57,(창영동),2,0,A02,A0201,A02010700,1114573,12,20101021020326,http://tong.visitkorea.or.kr/cms/resource/98/3039398_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/3039398_image3_1.jpg,Type3,126.6411378044,37.4706816068,6,20240612090725,5,,인천기독교사회복지관(여선교사기숙사)
인천광역시 부평구 평천로 26-47,,2,0,A02,A0202,A02020700,2462889,12,20161219190320,,,,126.6926983872,37.5202545329,6,20240523104740,6,,인천나비공원
인천광역시 중구 개항로45번길 21-32,,2,0,A02,A0201,A02010900,944786,12,20100204011811,http://tong.visitkorea.or.kr/cms/resource/74/2363074_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2363074_image3_1.jpg,Type3,126.6274500730,37.4739837596,6,20230410112610,10,,인천내동성공회성당
인천광역시 중구 월미로 482,(북성동1가),2,0,A02,A0205,A02050600,2711046,12,20210325014420,,,,126.6061297335,37.4762497870,6,20240604104106,10,,인천내항 사일로벽화
인천광역시 남동구 무네미로 236,,2,0,A02,A0202,A02020700,128027,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/32/2654832_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2654832_image3_1.jpg,Type3,126.7492727502,37.4576739190,6,20240417174558,4,,인천대공원
인천광역시 남동구 무네미로 236,,2,,A02,A0202,A02020700,3112159,12,20240329152924,,,,126.7493033010,37.4577461335,6,20240524144941,4,,인천대공원 반려견놀이터
인천광역시 남동구 무네미로 236,인천대공원 내(제 1주차장 축구장 뒤편),2,0,A02,A0202,A02020700,2603489,12,20190528014907,http://tong.visitkorea.or.kr/cms/resource/83/2603483_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/83/2603483_image2_1.bmp,Type3,126.7493033010,37.4577461335,6,20240524144851,4,,인천대공원 반려동물 놀이터
인천광역시 남동구 무네미로 236 인천대공원사업소,,2,,A02,A0202,A02020600,3015077,12,20230829134954,http://tong.visitkorea.or.kr/cms/resource/56/3015056_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/3015056_image3_1.jpg,Type3,126.7493033010,37.4577461335,6,20230925151623,4,,인천대공원 어린이동물원
인천광역시 중구 인천대교고속도로 3,,2,0,A02,A0205,A02050100,821412,12,20091016024718,,,,126.5476448037,37.4256657486,6,20231123101135,10,,인천대교
인천광역시 연수구 송도동 30-9,,2,0,A02,A0205,A02050600,2768138,12,20211104194540,,,,126.6290465320,37.3960372885,6,20240530153935,8,,인천대교전망대
인천광역시 미추홀구 매소홀로 553,(문학동),2,0,A02,A0201,A02010100,129341,12,20061108090000,http://tong.visitkorea.or.kr/cms/resource/85/3079385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3079385_image3_1.jpg,Type3,126.6823626896,37.4394720720,6,20240610135226,3,,인천도호부관아
