Branch,Username,Date,Review
네이버플레이스,어리버리7323,22.12.21.수,"새로나온 딸기아이스크림라떼!
피스타치오가 사라져서 아쉽지만 딸기도 부드럽고 맛나네요 😀"
네이버플레이스,곰곰해요,22.9.29.목,직원들이 너무 친절하시고 서비스가 굉장히 좋아요😃 매장도 넓고 인테리어가 깨끗&깔끔하게 되어 있어서 공부하거나 대화하기에도 문제 없어 보이네요ㅎㅎ
네이버플레이스,수퍼갤라그,23.4.3.월,커피 맛 최고예요
네이버플레이스,이자용21,23.1.30.월,소토 라떼 잘 마시구 갑니다!!^^
네이버플레이스,Sunnydayda,23.8.19.토,"친절해용
"
네이버플레이스,jud****,23.5.19.금,굿굿
네이버플레이스,수땅32,23.3.25.토,맛있어요
네이버플레이스,oredebu114,23.3.1.수,라테가 정말 맛있고 친절하세요
네이버플레이스,염리동불주먹,23.2.23.목,매장 넓고 쾌적해요!
네이버플레이스,서울유랑객,22.12.16.금,커피가 맛있어요 특히 라떼…. 여기는 다른 지점보다 카페인 함량이 세진 않았어요. 점심에는 직장인 많고 한시반 정도 지나면 자리여유 있어요
네이버플레이스,라일락6798,23.2.28.화,룽고 커피향이 너무 좋아요~
네이버플레이스,목탁탁두둥탁,22.12.23.금,딸기 아이스크림이 맛있습니다. 공간도 넓어서 좋아요
네이버플레이스,럭셔리레오,23.4.18.화,맛있어요
네이버플레이스,ilo****,23.11.5.일,굿
네이버플레이스,룰루2066,23.4.28.금,ㅇㅇ
네이버플레이스,jms****,23.1.31.화,음.. 폴바셋 라떼를 한두번 마셔본 것도 아닌데…. 아메리카노 만들다가 아차! 라떼만드는 거였지.. 싶어서 그 상태에서 우유를 추가로 부은 맛..?!!!!
네이버플레이스,SHS1456,23.4.13.목,친절해요 :-)
네이버플레이스,목표39,23.4.14.금,폴바셋은 라떼죵
네이버플레이스,SHS1456,22.12.21.수,딸기 관련 신제품이 나왔어요. 질도 좋아요.
네이버플레이스,애오개의현인,23.2.14.화,룽고도 괜찮습니다. 
네이버플레이스,찬찬Bro,23.1.17.화,좌석도 많고 넓어 대화하기좋아요
네이버플레이스,목탁탁두둥탁,22.12.14.수,말차 맛집입니다. 맛있어요
네이버플레이스,bll****,23.1.2.월,"원래 있던 곳에서 자리를 옮겨서 그런지 분위기가 밝아지고, 직원 분들도 너무 친절하시고 센스 있으시네요"
네이버플레이스,더플러스맨,23.4.9.일,좋아요
네이버플레이스,JSMOM,23.4.8.토,"세상 친절하세요
다녀본 매장 중 최고로 친절하셔서 좋았습니다"
네이버플레이스,Y D K group,23.2.12.일,커피가 맛나네~ㅋ
네이버플레이스,냐앙이,23.3.10.금,굿굿^-^
네이버플레이스,애오개의현인,23.2.10.금,에그타르트가 맛있네요. 
네이버플레이스,cactus78,23.4.6.목,커피 맛있음 
네이버플레이스,애오개의현인,23.2.9.목,라떼가 맛있습니다. 
